"","carrier","delayed30","delay","destination"
"1","American",TRUE,33,"MIA"
"2","JetBlue",FALSE,-18,"BQN"
"3","JetBlue",FALSE,-8,"MCO"
"4","JetBlue",FALSE,-2,"PBI"
"5","JetBlue",FALSE,-3,"TPA"
"6","JetBlue",FALSE,-4,"BOS"
"7","JetBlue",FALSE,4,"RSW"
"8","JetBlue",FALSE,-21,"SJU"
"9","American",FALSE,-3,"SJU"
"10","JetBlue",FALSE,-10,"BOS"
"11","JetBlue",FALSE,5,"BUF"
"12","JetBlue",FALSE,-6,"LAS"
"13","JetBlue",FALSE,11,"MSY"
"14","American",FALSE,-10,"MCO"
"15","JetBlue",FALSE,1,"FLL"
"16","JetBlue",TRUE,44,"LAX"
"17","JetBlue",FALSE,-15,"SJU"
"18","American",FALSE,-12,"FLL"
"19","JetBlue",FALSE,5,"MCO"
"20","JetBlue",FALSE,-1,"ROC"
"21","JetBlue",FALSE,4,"SYR"
"22","JetBlue",FALSE,-26,"SFO"
"23","American",FALSE,7,"LAX"
"24","JetBlue",FALSE,-11,"SRQ"
"25","American",FALSE,10,"SFO"
"26","American",FALSE,-22,"BOS"
"27","JetBlue",FALSE,10,"CLT"
"28","JetBlue",FALSE,12,"FLL"
"29","JetBlue",FALSE,17,"PIT"
"30","JetBlue",FALSE,-16,"SJU"
"31","JetBlue",FALSE,24,"SAN"
"32","JetBlue",FALSE,-7,"JAX"
"33","American",TRUE,51,"MIA"
"34","JetBlue",FALSE,15,"ORD"
"35","American",FALSE,-39,"SJU"
"36","JetBlue",FALSE,2,"TPA"
"37","American",FALSE,6,"LAX"
"38","JetBlue",TRUE,40,"AUS"
"39","JetBlue",FALSE,-7,"BTV"
"40","American",FALSE,16,"STT"
"41","American",FALSE,21,"MIA"
"42","JetBlue",FALSE,-5,"MCO"
"43","JetBlue",FALSE,-16,"RDU"
"44","JetBlue",FALSE,14,"IAD"
"45","JetBlue",FALSE,-4,"BOS"
"46","JetBlue",FALSE,2,"PBI"
"47","JetBlue",FALSE,-5,"BUF"
"48","JetBlue",TRUE,42,"FLL"
"49","JetBlue",FALSE,2,"LAX"
"50","JetBlue",FALSE,-17,"PWM"
"51","American",FALSE,11,"LAX"
"52","American",TRUE,32,"SFO"
"53","JetBlue",FALSE,-1,"MCO"
"54","JetBlue",FALSE,-4,"BTV"
"55","JetBlue",FALSE,4,"SFO"
"56","JetBlue",FALSE,3,"RSW"
"57","JetBlue",FALSE,29,"FLL"
"58","American",FALSE,7,"LAX"
"59","JetBlue",TRUE,38,"HOU"
"60","JetBlue",FALSE,-6,"TPA"
"61","American",FALSE,-10,"BOS"
"62","JetBlue",TRUE,36,"BUF"
"63","JetBlue",FALSE,16,"FLL"
"64","JetBlue",FALSE,-9,"LGB"
"65","JetBlue",FALSE,-2,"BOS"
"66","JetBlue",FALSE,12,"ROC"
"67","American",FALSE,27,"MIA"
"68","JetBlue",FALSE,5,"PBI"
"69","JetBlue",FALSE,0,"JAX"
"70","JetBlue",TRUE,78,"LAX"
"71","American",FALSE,4,"LAX"
"72","JetBlue",FALSE,-14,"PWM"
"73","JetBlue",FALSE,-4,"MCO"
"74","JetBlue",FALSE,-18,"BOS"
"75","JetBlue",FALSE,26,"SEA"
"76","JetBlue",TRUE,83,"BUR"
"77","American",FALSE,-27,"MCO"
"78","American",FALSE,-22,"MIA"
"79","JetBlue",FALSE,-18,"FLL"
"80","JetBlue",FALSE,1,"MSY"
"81","JetBlue",FALSE,10,"PIT"
"82","JetBlue",FALSE,-18,"MCO"
"83","JetBlue",TRUE,52,"SRQ"
"84","JetBlue",FALSE,27,"PBI"
"85","American",FALSE,-14,"FLL"
"86","JetBlue",FALSE,27,"BUF"
"87","JetBlue",FALSE,-21,"RSW"
"88","American",FALSE,-6,"SFO"
"89","American",FALSE,-17,"LAX"
"90","JetBlue",TRUE,115,"SJU"
"91","American",FALSE,18,"DFW"
"92","JetBlue",FALSE,12,"ORD"
"93","JetBlue",FALSE,20,"SYR"
"94","JetBlue",FALSE,-23,"MCO"
"95","American",FALSE,4,"SJU"
"96","JetBlue",FALSE,15,"LAX"
"97","JetBlue",TRUE,80,"TPA"
"98","JetBlue",FALSE,-30,"PBI"
"99","American",FALSE,-34,"BOS"
"100","JetBlue",FALSE,-4,"SAN"
"101","American",FALSE,3,"EGE"
"102","American",FALSE,-14,"LAS"
"103","American",FALSE,11,"AUS"
"104","JetBlue",TRUE,33,"CLT"
"105","JetBlue",FALSE,-8,"FLL"
"106","American",FALSE,0,"ORD"
"107","JetBlue",TRUE,61,"SJU"
"108","JetBlue",FALSE,-7,"SJU"
"109","American",FALSE,4,"MIA"
"110","American",FALSE,3,"SAN"
"111","JetBlue",FALSE,16,"PHX"
"112","JetBlue",TRUE,46,"RSW"
"113","JetBlue",FALSE,27,"TPA"
"114","JetBlue",TRUE,34,"IAD"
"115","JetBlue",FALSE,4,"MCO"
"116","JetBlue",FALSE,-12,"BOS"
"117","JetBlue",FALSE,-5,"FLL"
"118","JetBlue",FALSE,-6,"RDU"
"119","JetBlue",FALSE,-15,"LGB"
"120","JetBlue",FALSE,-29,"SJC"
"121","American",FALSE,-2,"SEA"
"122","JetBlue",FALSE,12,"BUF"
"123","American",FALSE,-19,"SJU"
"124","American",TRUE,78,"SFO"
"125","American",TRUE,127,"LAX"
"126","JetBlue",FALSE,-22,"MCO"
"127","JetBlue",FALSE,-15,"OAK"
"128","JetBlue",FALSE,2,"SLC"
"129","JetBlue",FALSE,5,"SMF"
"130","American",FALSE,25,"LAX"
"131","American",FALSE,-2,"TPA"
"132","JetBlue",TRUE,44,"LAS"
"133","JetBlue",FALSE,-22,"SFO"
"134","American",FALSE,-10,"BOS"
"135","JetBlue",FALSE,-3,"FLL"
"136","JetBlue",FALSE,10,"AUS"
"137","JetBlue",TRUE,91,"BUR"
"138","JetBlue",TRUE,50,"PBI"
"139","JetBlue",FALSE,12,"HOU"
"140","JetBlue",FALSE,10,"MSY"
"141","JetBlue",FALSE,3,"JAX"
"142","JetBlue",FALSE,-1,"PDX"
"143","JetBlue",FALSE,-2,"RSW"
"144","JetBlue",FALSE,-6,"BOS"
"145","JetBlue",FALSE,-5,"LAX"
"146","American",FALSE,-24,"LAX"
"147","JetBlue",FALSE,-9,"DEN"
"148","JetBlue",FALSE,-14,"SJU"
"149","JetBlue",FALSE,2,"MCO"
"150","JetBlue",FALSE,21,"PBI"
"151","JetBlue",FALSE,23,"RDU"
"152","JetBlue",FALSE,28,"BUF"
"153","JetBlue",FALSE,-26,"SJU"
"154","JetBlue",TRUE,73,"TPA"
"155","JetBlue",TRUE,49,"FLL"
"156","JetBlue",FALSE,-16,"PWM"
"157","JetBlue",FALSE,-7,"BOS"
"158","JetBlue",FALSE,23,"ROC"
"159","JetBlue",TRUE,35,"BTV"
"160","JetBlue",FALSE,9,"BUF"
"161","JetBlue",TRUE,73,"LAS"
"162","JetBlue",TRUE,33,"SYR"
"163","JetBlue",FALSE,-20,"PSE"
"164","JetBlue",FALSE,-24,"SJU"
"165","JetBlue",FALSE,-12,"BQN"
"166","JetBlue",TRUE,36,"SJU"
"167","JetBlue",TRUE,154,"SYR"
"168","American",FALSE,-19,"MIA"
"169","JetBlue",FALSE,-23,"BQN"
"170","JetBlue",FALSE,-16,"FLL"
"171","JetBlue",FALSE,-10,"PBI"
"172","JetBlue",FALSE,0,"TPA"
"173","JetBlue",FALSE,0,"MCO"
"174","JetBlue",FALSE,-7,"SJU"
"175","JetBlue",FALSE,27,"RSW"
"176","JetBlue",FALSE,-17,"BOS"
"177","JetBlue",FALSE,-6,"BUF"
"178","American",FALSE,-4,"MCO"
"179","JetBlue",FALSE,-13,"LAS"
"180","JetBlue",FALSE,6,"FLL"
"181","JetBlue",FALSE,26,"MSY"
"182","American",FALSE,29,"SJU"
"183","American",FALSE,-23,"MIA"
"184","JetBlue",FALSE,-8,"LAX"
"185","American",FALSE,-9,"FLL"
"186","JetBlue",FALSE,1,"MCO"
"187","JetBlue",FALSE,0,"SJU"
"188","American",FALSE,5,"LAX"
"189","JetBlue",FALSE,24,"SYR"
"190","JetBlue",FALSE,4,"ROC"
"191","JetBlue",FALSE,-30,"SFO"
"192","American",FALSE,-9,"SFO"
"193","JetBlue",FALSE,-3,"SRQ"
"194","JetBlue",FALSE,-18,"FLL"
"195","American",FALSE,-15,"STT"
"196","JetBlue",FALSE,2,"PIT"
"197","American",FALSE,6,"BOS"
"198","JetBlue",TRUE,39,"CLT"
"199","JetBlue",FALSE,1,"SAN"
"200","JetBlue",FALSE,12,"JAX"
"201","JetBlue",FALSE,-11,"SJU"
"202","JetBlue",FALSE,9,"ORD"
"203","American",FALSE,13,"SJU"
"204","JetBlue",FALSE,12,"TPA"
"205","American",FALSE,5,"LAX"
"206","American",FALSE,10,"MIA"
"207","JetBlue",FALSE,-1,"BTV"
"208","JetBlue",FALSE,21,"FLL"
"209","JetBlue",FALSE,16,"IAD"
"210","JetBlue",FALSE,-1,"BOS"
"211","JetBlue",FALSE,16,"RDU"
"212","JetBlue",TRUE,62,"AUS"
"213","JetBlue",FALSE,2,"BUF"
"214","JetBlue",FALSE,23,"PBI"
"215","JetBlue",FALSE,-6,"PWM"
"216","JetBlue",FALSE,-7,"LAX"
"217","JetBlue",FALSE,-11,"BOS"
"218","JetBlue",FALSE,2,"MCO"
"219","American",FALSE,7,"LAX"
"220","JetBlue",TRUE,98,"MCO"
"221","JetBlue",FALSE,-48,"SFO"
"222","JetBlue",FALSE,-6,"BTV"
"223","JetBlue",FALSE,-6,"RSW"
"224","JetBlue",FALSE,24,"FLL"
"225","JetBlue",FALSE,15,"HOU"
"226","American",FALSE,1,"LAX"
"227","JetBlue",FALSE,-11,"LAX"
"228","JetBlue",FALSE,-13,"TPA"
"229","JetBlue",FALSE,6,"BUF"
"230","JetBlue",FALSE,-35,"LGB"
"231","American",FALSE,-1,"BOS"
"232","JetBlue",FALSE,5,"FLL"
"233","JetBlue",FALSE,7,"PBI"
"234","JetBlue",FALSE,-6,"BOS"
"235","JetBlue",FALSE,-20,"BUR"
"236","JetBlue",FALSE,-6,"SJU"
"237","JetBlue",TRUE,45,"ROC"
"238","JetBlue",FALSE,3,"JAX"
"239","American",FALSE,-17,"LAX"
"240","American",TRUE,47,"MIA"
"241","JetBlue",FALSE,-34,"SEA"
"242","JetBlue",FALSE,25,"MCO"
"243","JetBlue",FALSE,6,"PWM"
"244","JetBlue",FALSE,0,"SRQ"
"245","JetBlue",FALSE,-21,"BUF"
"246","JetBlue",FALSE,-6,"PBI"
"247","JetBlue",FALSE,3,"MSY"
"248","JetBlue",FALSE,23,"BOS"
"249","JetBlue",FALSE,-17,"PIT"
"250","American",FALSE,-1,"MIA"
"251","JetBlue",FALSE,-1,"TPA"
"252","JetBlue",FALSE,0,"MCO"
