carrier,delayed30,delay,destination
Delta,FALSE,-18,MSP
Delta,FALSE,-2,ATL
Delta,FALSE,-23,MIA
Delta,FALSE,18,MCO
Delta,FALSE,-4,PBI
Delta,FALSE,-1,FLL
Delta,FALSE,-19,TPA
Delta,FALSE,-28,MSP
Republic,FALSE,-29,BOS
Republic,FALSE,-22,JAX
Delta,FALSE,-33,ATL
Republic,FALSE,-27,CLT
Delta,FALSE,-45,DFW
Republic,FALSE,-11,CMH
Delta,FALSE,-46,IAH
Delta,FALSE,-5,ORD
Republic,FALSE,-32,DCA
Delta,FALSE,-21,DEN
Delta,FALSE,-9,DTW
Delta,FALSE,-11,MCO
Republic,FALSE,-38,MSP
Delta,FALSE,-9,MSY
Republic,FALSE,-20,MSN
Republic,FALSE,-24,IND
Delta,FALSE,5,ATL
Republic,FALSE,-32,CVG
Republic,FALSE,-37,AVL
Delta,FALSE,-24,RSW
Republic,FALSE,-25,PIT
Delta,FALSE,-24,FLL
Republic,TRUE,32,MCI
Republic,FALSE,-37,PIT
Delta,FALSE,-30,MIA
Delta,FALSE,-17,MCO
Delta,FALSE,-24,PBI
Delta,TRUE,325,DTW
Republic,FALSE,-17,RIC
Delta,FALSE,-30,TPA
Republic,FALSE,-35,BNA
Republic,FALSE,-37,EYW
Delta,FALSE,-5,ATL
Republic,FALSE,-29,BOS
Republic,FALSE,-17,SDF
Delta,FALSE,-21,DTW
Republic,FALSE,-12,CHS
Delta,TRUE,119,MSP
Republic,FALSE,-12,JAX
Republic,FALSE,-31,CMH
Delta,FALSE,-3,ATL
Republic,FALSE,-35,ATL
Republic,FALSE,-43,OKC
Republic,FALSE,-25,DCA
Delta,FALSE,-13,PBI
Republic,FALSE,-31,STL
Delta,FALSE,-2,MCO
Republic,FALSE,-42,CLE
Republic,FALSE,-38,IND
Delta,TRUE,138,SRQ
Delta,FALSE,-30,ATL
Delta,FALSE,-5,MSP
Delta,FALSE,-36,DFW
Republic,FALSE,-20,CHO
Delta,FALSE,-15,MIA
Delta,FALSE,-23,TPA
Republic,FALSE,-33,DTW
Republic,FALSE,-37,XNA
Delta,FALSE,-32,RSW
Republic,FALSE,-46,ORF
Republic,FALSE,-42,RIC
Republic,FALSE,-39,GSO
Republic,FALSE,-23,ILM
Republic,FALSE,-17,ORD
